as_of,batch_file,ticker,raw_news_score,confidence,effective_news_score,audit_passed,accepted_source_count,rejected_source_count,audit_reasons,summary,catalyst,risk
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_01.json,CRWD,0.7,0.9,0.63,True,2,1,,"CrowdStrike received significant positive news, including a high ranking on the Fortune Future 50 list, achieving a major ARR milestone, and recognition for its AI and identity protection solutions. Technical indicators also suggest a bullish trend, and analysts forecast strong earnings growth.","Strong market validation, rapid Annual Recurring Revenue (ARR) growth, and leadership in AI-driven cybersecurity.",None identified in the news within the search window.
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_01.json,META,0.1,0.8,0.08000000000000002,True,4,0,,"Meta Platforms announced a massive investment in AI infrastructure by acquiring 350,000 Nvidia H100 GPUs, signaling a strong commitment to AI development. However, the company faced significant negative news regarding allegations of deliberately targeting young users with addictive technology and ignoring warnings about harmful content.",Substantial investment and focus on AI development.,"Regulatory and legal challenges related to user safety, especially for young users, and data privacy."
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_01.json,AMD,0.4,0.8,0.32000000000000006,True,3,1,,"Advanced Micro Devices reported strong Q4 2023 results and significantly raised its 2024 outlook for data-center AI chip sales, driven by its new Instinct MI300X GPUs. However, the stock experienced a slight drop due to lighter-than-expected Q1 2024 guidance, and technical indicators suggest potential overvaluation and overbought conditions.",Strong growth in AI chip sales and new product launches for AI workloads.,Lower-than-expected near-term revenue guidance and potential overvaluation.
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_01.json,COIN,0.2,0.7,0.13999999999999999,True,2,0,,"Coinbase released a positive 2024 Crypto Market Outlook, indicating the end of the crypto winter and continued institutional interest in Bitcoin and overall market infrastructure development. However, the company is actively engaged in a legal battle with the SEC, defending itself against allegations of operating as an unregistered exchange.",Positive crypto market outlook and continued institutional adoption of digital assets.,Ongoing legal challenges with the SEC regarding the classification of tokens as securities and operating as an unregistered exchange.
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_01.json,UBER,-0.2,0.8,-0.16000000000000003,True,5,0,,"Uber successfully upsized a convertible senior notes offering and announced a $10 million commitment to combat gender-based violence. The company also implemented measures to address fraudulent customer refund claims. However, Uber agreed to a significant $290 million settlement for wage theft claims in New York and is shutting down its Drizly alcohol delivery service.",Successful capital raise and initiatives to improve driver experience and social responsibility.,Significant legal settlement costs and the closure of an acquired business unit.
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_02.json,PLTR,0.8,0.9,0.7200000000000001,True,5,0,,"Palantir Technologies experienced significant positive news, including a transfer to the Nasdaq Global Select Market with anticipated Nasdaq-100 Index eligibility, and several new and expanded partnerships in both government and commercial sectors, particularly in AI and data infrastructure.","Transfer to Nasdaq and potential Nasdaq-100 inclusion, alongside new and expanded government and commercial contracts leveraging its AI and data platforms.",None identified within the specified search window.
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_02.json,PANW,0.0,0.0,0.0,False,0,0,missing_ticker|model_reported_insufficient_information|no_source_with_valid_point_in_time_date,,,
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_02.json,DELL,0.0,0.0,0.0,False,0,0,missing_ticker|model_reported_insufficient_information|no_source_with_valid_point_in_time_date,,,
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_02.json,ANET,0.0,0.0,0.0,False,0,0,missing_ticker|model_reported_insufficient_information|no_source_with_valid_point_in_time_date,,,
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_02.json,AVGO,0.0,0.0,0.0,False,0,0,missing_ticker|model_reported_insufficient_information|no_source_with_valid_point_in_time_date,,,
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_03.json,RCL,0.0,0.0,0.0,False,0,0,model_reported_insufficient_information|no_source_with_valid_point_in_time_date,No qualifying news was found for Royal Caribbean Group within the specified search window and before the as-of cutoff.,None.,None.
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_03.json,LLY,0.0,0.0,0.0,False,0,0,model_reported_insufficient_information|no_source_with_valid_point_in_time_date,No qualifying news was found for Eli Lilly within the specified search window and before the as-of cutoff.,None.,None.
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_03.json,VST,0.5,0.7,0.35,True,2,0,,"Vistra Corp. announced a cash tender offer on January 31, 2024, to purchase any and all outstanding rights related to certain tax benefits (TRA Rights), following the repurchase of approximately 85% of these rights in December 2023 and January 2024. Additionally, TXU Energy, a Vistra brand, announced a multi-year partnership on January 8, 2024, including scholarship funding and energy efficiency rebates.",The cash tender offer for TRA Rights could simplify Vistra's capital structure and reduce future obligations related to tax benefits.,None explicitly mentioned as a negative risk in the news related to the tender offer or partnership.
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_03.json,DASH,0.0,0.0,0.0,False,0,0,model_reported_insufficient_information|no_source_with_valid_point_in_time_date,No qualifying news was found for DoorDash within the specified search window and before the as-of cutoff.,None.,None.
2024-01-31,data/cache/gemini_2_5_flash/2024-01-31/batch_03.json,DECK,0.0,0.0,0.0,False,0,0,model_reported_insufficient_information|no_source_with_valid_point_in_time_date,No qualifying news was found for Deckers Brands within the specified search window and before the as-of cutoff.,None.,None.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_00.json,SMCI,1.0,1.0,1.0,True,2,0,,Supermicro reported record second-quarter fiscal year 2024 financial results with 103% year-over-year revenue growth and significantly raised its full-year revenue outlook due to strong demand for its AI and IT solutions.,"Strong financial performance driven by high demand for AI and IT solutions, leading to a substantial increase in full-year revenue guidance.",none.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_00.json,CVNA,0.0,0.0,0.0,False,0,0,model_reported_insufficient_information|no_source_with_valid_point_in_time_date,No significant news found within the specified search window.,none.,none.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_00.json,APP,0.0,0.5,0.0,True,3,0,,"AppLovin announced its fourth quarter and full year 2023 financial results, appointed a new board member, and announced a secondary public offering with a concurrent share repurchase.",Appointment of a new board member and a report on AI-powered personalization in mobile apps.,Potential dilution from the secondary public offering.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_00.json,VRT,1.0,1.0,1.0,True,1,0,,"Vertiv reported strong fourth-quarter 2023 earnings with 12% organic sales growth and a record backlog, and is significantly expanding its liquid cooling production capacity to meet demand from AI-driven data centers.","Strong financial performance, robust orders growth, and strategic expansion of AI-related liquid cooling capacity.",none.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_00.json,NVDA,0.0,0.0,0.0,False,0,0,model_reported_insufficient_information|no_source_with_valid_point_in_time_date,No significant news found within the specified search window.,none.,none.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_01.json,PLTR,0.7,0.8,0.5599999999999999,True,1,0,,Palantir Technologies extended its work with the U.S. Army Vantage Program and renewed its digital transformation partnership with UniCredit for another five years in December 2023.,Continued expansion and renewal of significant government and commercial contracts.,None.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_01.json,COIN,0.0,0.0,0.0,False,1,0,model_reported_insufficient_information,"Coinbase Global announced the release of its fourth quarter and full year 2023 shareholder letter on February 15, 2024.",Main catalyst or none.,Main risk or none.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_01.json,META,0.9,0.9,0.81,True,1,0,,"Meta Platforms reported strong fourth quarter and full year 2023 financial results, with revenue increasing 25% year-over-year for Q4, and initiated a quarterly cash dividend of $0.50 per share.","Strong financial performance, significant user growth, and the initiation of a quarterly dividend.",None.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_01.json,CRWD,0.4,0.7,0.27999999999999997,True,1,0,,"CrowdStrike released its 2024 Global Threat Report, highlighting an alarming rise in covert cyber activity and a 75% increase in cloud intrusions.","The report underscores a growing and evolving cyber threat landscape, which could increase demand for CrowdStrike's cybersecurity solutions.",None.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_01.json,VST,0.95,0.9,0.855,True,2,0,,"Vistra Corp. reported full-year 2023 results, announced FERC approval for its Energy Harbor acquisition, authorized an additional $1.5 billion in share repurchases, and reaffirmed a meaningfully higher 2024 standalone Adjusted EBITDA guidance range.","Approval of a significant acquisition expanding nuclear generation, substantial share repurchase authorization, and a strong financial outlook with increased guidance.",None.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_02.json,AMD,0.75,0.8,0.6000000000000001,True,1,0,,"Advanced Micro Devices introduced its MI300 AI chip in December 2023, with an estimated $2 billion in sales for 2024, positioning the company as a significant challenger in the AI chip market.","Introduction of the MI300 AI chip and the 'Advancing AI' event, signaling strong entry and projected sales in the AI market.","Intense competition in the AI chip market, particularly from established players like Nvidia."
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_02.json,LLY,0.8,0.9,0.7200000000000001,True,1,0,,"Eli Lilly experienced strong performance in 2023 driven by Mounjaro sales and the recent FDA approval of Zepbound for weight management, with high sales expectations for 2024.","Strong sales of Mounjaro and the recent FDA approval and launch of Zepbound for weight management, with significant revenue forecasts for 2024.",High expectations for Zepbound sales and potential future competition in the obesity drug market.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_02.json,UBER,0.7,0.85,0.595,True,1,0,,"Uber reported strong financial results for the fourth quarter and full year 2023, with significant growth in trips, monthly active platform consumers, Gross Bookings, net income, and Adjusted EBITDA.","Robust Q4 and full-year 2023 financial performance, demonstrating continued strong, profitable growth and increased user engagement.",Potential for increased regulatory scrutiny or competitive pressures in the ride-sharing and delivery markets.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_02.json,DELL,0.85,0.85,0.7224999999999999,True,3,0,,"Dell Technologies reported mixed Q4 fiscal 2024 results with revenue decline but strong operating income and EPS growth, while also announcing a 20% dividend increase and significant advancements in AI PCs and infrastructure partnerships.","Expansion into commercial AI laptops and workstations, a strategic partnership with Nokia, a large server deal with CoreWeave for AI infrastructure, and a 20% increase in annual cash dividend.",Overall revenue decline in fiscal year 2024 and competitive pressures in the technology hardware market.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_02.json,DASH,0.7,0.8,0.5599999999999999,True,2,0,,"DoorDash reported strong fourth quarter and full year 2023 financial results, with significant growth in orders, gross order value, revenue, and adjusted EBITDA, alongside record user engagement.","Strong Q4 and full-year 2023 financial performance, including substantial growth in Total Orders, Marketplace GOV, Revenue, and Adjusted EBITDA, coupled with record Monthly Active Users and DashPass/Wolt+ members.",Ongoing investments to expand the business and potential for increased competition in the local commerce and delivery sectors.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_03.json,CEG,0.7,0.9,0.0,False,0,0,no_source_with_valid_point_in_time_date,"Constellation Energy reported strong fourth-quarter and full-year 2023 financial results, exceeding Adjusted EBITDA guidance, and announced a second $1 billion share repurchase program and a doubled annual dividend.","Strong financial performance, increased shareholder returns through share repurchases and dividends, and strategic investments in clean energy.",None.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_03.json,AVGO,0.8,0.9,0.0,False,0,0,no_source_with_valid_point_in_time_date,"Broadcom reported strong first-quarter fiscal year 2024 financial results with 34% year-over-year consolidated revenue growth, driven by the VMware acquisition and demand for AI data center networking products, and reiterated its full-year guidance. The company also had favorable outcomes in patent infringement cases against Netflix.","Strong financial performance, successful integration of VMware, high demand for AI-related networking products, and intellectual property protection.",None.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_03.json,DECK,-0.1,0.4,0.0,False,0,0,no_source_with_valid_point_in_time_date,"Deckers Brands announced on February 6, 2024, that its President and Chief Executive Officer, Dave Powers, is set to retire in August 2024.",None.,Uncertainty surrounding leadership transition with the upcoming CEO retirement.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_03.json,ANET,0.85,0.9,0.0,False,0,0,no_source_with_valid_point_in_time_date,"Arista Networks reported strong fourth-quarter and full-year 2023 financial results with 33.8% revenue growth for the year, while also announcing a new CFO and unveiling advancements in zero-trust networking and AI-driven network identity.","Strong financial performance, innovation in AI networking and zero-trust security, and strategic positioning in high-growth areas.",None.
2024-02-29,data/cache/gemini_2_5_flash/2024-02-29/batch_03.json,LRCX,0.6,0.9,0.0,False,0,0,no_source_with_valid_point_in_time_date,"Lam Research reported solid financial results for the quarter ended December 24, 2023, with revenue increasing 7.9% quarter-over-quarter to $3.76 billion and non-GAAP diluted EPS growing 9.8% to $7.52.",Strong financial performance with quarter-over-quarter growth in revenue and earnings per share.,None.
2024-03-28,data/cache/gemini_2_5_flash/2024-03-28/batch_00.json,CVNA,-0.2,0.6,-0.12,True,1,1,,"Carvana reported record profitability for the fourth quarter and full year 2023 and provided a positive outlook for the first quarter of 2024, but also faced a short-seller report alleging overstatement of earnings and undisclosed liabilities.",Strong financial performance and positive Q1 2024 outlook.,Allegations of accounting manipulation and undisclosed related-party liabilities from a short-seller report.
2024-03-28,data/cache/gemini_2_5_flash/2024-03-28/batch_00.json,SMCI,0.9,0.9,0.81,True,3,0,,"Supermicro reported record second-quarter fiscal year 2024 revenue, exceeding prior guidance, and raised its full-year outlook, driven by strong demand for its AI and Total IT Solutions, while also introducing new AI-optimized products.","Record financial results, increased revenue guidance, and new product introductions supporting AI and high-performance computing demand.",None.
2024-03-28,data/cache/gemini_2_5_flash/2024-03-28/batch_00.json,VRT,0.7,0.8,0.5599999999999999,True,1,0,,"Vertiv reported strong fourth-quarter 2023 financial results with increased sales and orders, received credit rating upgrades, and provided a positive outlook for 2024.","Strong financial performance, credit rating upgrades, and positive outlook.",None.
2024-03-28,data/cache/gemini_2_5_flash/2024-03-28/batch_00.json,APP,0.0,0.0,0.0,False,1,0,model_reported_insufficient_information,"AppLovin announced its fourth quarter and full year 2023 financial results on February 14, 2024.",None.,None.
2024-03-28,data/cache/gemini_2_5_flash/2024-03-28/batch_00.json,COIN,0.0,0.0,0.0,False,0,0,model_reported_insufficient_information|no_source_with_valid_point_in_time_date,No qualifying news sources were found within the specified search window.,None.,None.
2024-03-28,data/cache/gemini_2_5_flash/2024-03-28/batch_01.json,NVDA,0.7,0.8,0.5599999999999999,True,1,0,,Nvidia is expected to benefit from Dell's planned validation with NVIDIA DGX SuperPOD AI infrastructure and the introduction of commercial AI laptops and mobile workstations featuring built-in AI acceleration with neural processing units.,Increased adoption and integration of NVIDIA's AI infrastructure and components in Dell's product portfolio.,None.
2024-03-28,data/cache/gemini_2_5_flash/2024-03-28/batch_01.json,DELL,0.6,0.8,0.48,True,2,0,,"Dell Technologies reported mixed fiscal Q4 2024 results with revenue declines but increased diluted earnings per share and a 20% increase in its annual cash dividend, alongside significant advancements in AI and cybersecurity solutions.","Strong cash flow, increased dividend, and strategic advancements in AI, including new enterprise data storage for AI workloads and AI-accelerated laptops, and expanded security offerings.",Year-over-year revenue declines in both the fourth quarter and full fiscal year 2024.
2024-03-28,data/cache/gemini_2_5_flash/2024-03-28/batch_01.json,VST,0.8,0.9,0.7200000000000001,True,1,0,,"Vistra Corp. completed its acquisition of Energy Harbor, significantly expanding its nuclear generation capacity and retail customer base, and reported improved full-year 2023 financial results while authorizing an additional $1.5 billion in share repurchases.","Completion of the Energy Harbor acquisition, adding over 4,000 MW of nuclear generation and approximately 1 million retail customers, along with strong financial performance and a substantial share repurchase authorization.",None.
2024-03-28,data/cache/gemini_2_5_flash/2024-03-28/batch_01.json,PLTR,0.0,0.0,0.0,False,0,0,model_reported_insufficient_information|no_source_with_valid_point_in_time_date,No qualifying news sources were found within the specified search window (2023-12-29 through 2024-03-28).,None.,None.
2024-03-28,data/cache/gemini_2_5_flash/2024-03-28/batch_01.json,UBER,0.9,0.9,0.81,True,1,0,,"Uber Technologies announced strong fourth quarter and full-year 2023 financial results, with significant growth in trips, gross bookings, net income, and Adjusted EBITDA, indicating an inflection point for profitable growth.","Record-breaking financial performance in Q4 and full-year 2023, demonstrating strong, profitable growth at scale across both Mobility and Delivery segments.",None.
